,x2_5,x97_5,coef,label,time,group,
49,0.957721251,1.023018279,0.989831474,Yorkshire and The Humber,Lockdown,Region,-1% (-4.2% to 2.3%)
42,0.961999044,1.023973807,0.992502808,East,Recovery,Region,-0.7% (-3.8% to 2.4%)
52,0.964704952,1.02582537,0.994795866,East Midlands,Recovery,Region,-0.5% (-3.5% to 2.6%)
48,0.940268682,1.001473351,0.970388596,London,Recovery,Region,-3% (-6% to 0.1%)
44,0.953624924,1.012999976,0.982864194,North East,Recovery,Region,-1.7% (-4.6% to 1.3%)
46,0.936521048,0.993680125,0.964677331,North West,Recovery,Region,-3.5% (-6.3% to -0.6%)
58,0.956641954,1.018679574,0.98717355,South East,Recovery,Region,-1.3% (-4.3% to 1.9%)
56,0.957009063,1.018543338,0.987296918,South West,Recovery,Region,-1.3% (-4.3% to 1.9%)
54,0.975304082,1.041669518,1.007940739,West Midlands,Recovery,Region,0.8% (-2.5% to 4.2%)
50,0.961437175,1.023970264,0.992211206,Yorkshire and The Humber,Recovery,Region,-0.8% (-3.9% to 2.4%)
17,0.960679543,1.033057177,0.996211271,Female,Lockdown,Sex,-0.4% (-3.9% to 3.3%)
19,0.950411644,1.021657063,0.985390668,Male,Lockdown,Sex,-1.5% (-5% to 2.2%)
18,0.960883185,1.026547221,0.993172676,Female,Recovery,Sex,-0.7% (-3.9% to 2.7%)
20,0.949501411,1.013548767,0.981002541,Male,Recovery,Sex,FALSE
