snomedcode,Ethnicity,Grouping_16,Grouping_6
2.96841E+14,Yemeni,16,5
312859007,Vietnamese,16,5
315282008,Other ethnic group,16,5
32873005,Bloods,16,5
33182009,Trukese,16,5
3353005,Pueblo,16,5
34334001,New Caledonians,16,5
35007000,Utes,16,5
3698008,Micronesians,16,5
38144004,Athabascans,16,5
38361009,Koreans,16,5
38750003,Bororo,16,5
4073004,Palauans,16,5
413569000,Arab,16,5
414661004,Melanesian,16,5
41798002,Caroline Islanders,16,5
43056000,Cuna,16,5
43608005,Australian Aborigines,16,5
43890005,Dieguenos,16,5
47327008,Mexican Indians,16,5
48118002,Yapese,16,5
48294008,Solomon Islanders,16,5
48375000,Seminole,16,5
49202008,Gilbertese,16,5
50405005,Senoi,16,5
55990000,Inca,16,5
57539009,Navaho,16,5
5.83481E+14,Other ethnic NEC (NMO),16,5
5.92491E+14,Other New Zealand ethnic group,16,5
5.92501E+14,New Zealand ethnic group NOS,16,5
59487007,Syrians,16,5
59597001,Marshallese,16,5
60157000,Ellice Islanders,16,5
62598008,Venezuelan Indians,16,5
63457007,Maya,16,5
6373008,Choco,16,5
63732001,New Hebrideans,16,5
65776006,Blackfeet,16,5
6.61731E+14,Other Pacific ethnic group,16,5
66406004,Huasteco,16,5
6.66871E+14,Other ethnic group,16,5
66920001,Amerind,16,5
67931002,Aztec,16,5
69865008,Fijian,16,5
69983001,Irani,16,5
71949006,Chippewa,16,5
72337002,Brazilian Indians,16,5
73524008,Caingang,16,5
73736004,Maori,16,5
74159009,Melanuans,16,5
74302004,Apache,16,5
75301003,Mapuche,16,5
75326007,Labradors,16,5
75704009,Toba,16,5
76460008,Yanomama,16,5
76883002,Huichol,16,5
77502007,Atacamenos,16,5
77686000,Kwakiutl,16,5
79434006,Quechua,16,5
81560001,Tongan,16,5
81653003,Pehuenches,16,5
85515006,Eskimo,16,5
86275006,Samoan,16,5
87323008,Nez Percé,16,5
8.9001E+13,Arab - ethnic category 2001 census,16,5
8.9011E+13,Iranian - ethnic category 2001 census,16,5
8.9021E+13,South and Central American - ethnic category 2001 census,16,5
89026003,Alacaluf,16,5
90027003,Arabs,16,5
91488008,New Britons,16,5
9.2521E+13,Other - ethnic category 2001 census,16,5
9.4071E+13,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census",16,5
9.4081E+13,Israeli - ethnic category 2001 census,16,5
9.4091E+13,Kurdish - ethnic category 2001 census,16,5
9.4101E+13,Moroccan - ethnic category 2001 census,16,5
9.4111E+13,Latin American - ethnic category 2001 census,16,5
9.4121E+13,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census,16,5
9.4151E+13,Any other group - ethnic category 2001 census,16,5
9.76951E+14,Other ethnic group: Arab - England and Wales ethnic category 2011 census,16,5
9.76961E+14,Other ethnic group: Arab - England and Wales ethnic category 2011 census,16,5
9.76971E+14,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,16,5
9.76981E+14,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,16,5
9.77851E+14,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,16,5
9.77861E+14,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,16,5
9.77871E+14,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,16,5
9.77881E+14,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,16,5
9.78381E+14,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",16,5
9.78391E+14,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",16,5
9.78401E+14,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,16,5
9.78411E+14,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,16,5
154181004,Chinese,15,5
154224002,Chinese,15,5
186004002,Chinese,15,5
33897005,Chinese,15,5
9.2511E+13,Chinese - ethnic category 2001 census,15,5
9.76851E+14,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,15,5
9.77751E+14,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,15,5
9.78191E+14,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,15,5
9.76861E+14,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,15,5
9.77761E+14,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,15,5
9.78201E+14,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,15,5
1.10791E+14,Black British - ethnic category 2001 census,14,4
15086000,African American,14,4
154166005,"Black, other, non-mixed origin",14,4
154167001,Black British,14,4
154169003,Black N African &/or Arab &/or Iranian,14,4
154171003,Black E Afric Asia &/or Indo-Caribb,14,4
154172005,Black Indian sub-continent,14,4
154173000,Black - other Asian,14,4
154174006,Black Black - other,14,4
154206004,Other black ethnic group,14,4
185989004,"Black, other, non-mixed origin",14,4
185990008,Black British,14,4
185992000,Black N African &/or Arab &/or Iranian,14,4
185994004,Black E Afric Asia &/or Indo-Caribb,14,4
185995003,Black Indian sub-continent,14,4
185996002,Black - other Asian,14,4
185997006,Black Black - other,14,4
186029008,Other black ethnic group,14,4
270461001,Black N African/Arab/Iranian,14,4
270462008,Black East African Asian/Indo-Caribbean,14,4
275587000,Black Arab,14,4
275588005,Black Iranian,14,4
275589002,Black East African Asian,14,4
275590006,Black Indo-Caribbean,14,4
315240009,Black - ethnic group,14,4
315279003,Other black ethnic group,14,4
6.51601E+14,Black Black - other,14,4
9.2501E+13,Other Black background - ethnic category 2001 census,14,4
9.2741E+13,Other Black or Black unspecified - ethnic category 2001 census,14,4
9.76931E+14,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census,14,4
9.77831E+14,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census,14,4
9.78271E+14,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",14,4
9.78341E+14,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",14,4
9.78361E+14,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,14,4
9.76941E+14,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census,14,4
9.78371E+14,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,14,4
9.77841E+14,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census,14,4
9.78351E+14,Caribbean or Black: Black Black Scottish or Black British - Scotland ethnic category 2011 census,14,4
5.21E+11,Black Irish (ethnic group),14,4
10008004,Ewe,13,4
11794009,Kenyans,13,4
13440006,Tanganyikans,13,4
14470009,Tutsi,13,4
154165009,Black African,13,4
154170002,Black - other African country,13,4
154187000,Other African countries (NMO),13,4
18167009,Black African,13,4
185993005,Black - other African country,13,4
186010002,Other African countries (NMO),13,4
1919006,Egyptians,13,4
21868006,Madagascans,13,4
23922002,Batutsi,13,4
2720008,Hututu,13,4
275586009,Black North African,13,4
37474002,Ghanaians,13,4
37843006,Fulani,13,4
3818007,Senegalese,13,4
39764005,Bantu,13,4
41076003,Mozambiquans,13,4
46110004,Somalis,13,4
51750002,Hottentot,13,4
52075006,Congolese,13,4
58047002,Barundi,13,4
59366001,Ibo,13,4
67439005,Msutu,13,4
71176007,Pygmies,13,4
72201005,Hobe,13,4
72248007,Kikuyu,13,4
76253004,Zulu,13,4
76775001,Ugandans,13,4
80528001,Xosa,13,4
8124001,West Africans,13,4
82174001,Shona,13,4
83584002,Luo,13,4
85371009,Bushmen,13,4
870448005,Khoikhoi,13,4
88790004,Abyssinians (Amharas),13,4
88839008,Sudanese,13,4
88934004,Nigerians,13,4
90822005,Gambians,13,4
9158000,Liberians,13,4
9.2491E+13,African - ethnic category 2001 census,13,4
9.2711E+13,Somali - ethnic category 2001 census,13,4
9.2731E+13,Nigerian - ethnic category 2001 census,13,4
9.4061E+13,North African - ethnic category 2001 census,13,4
9.76891E+14,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,13,4
9.77791E+14,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,13,4
9.78231E+14,"African: African, African Scottish or African British - Scotland ethnic category 2011 census",13,4
9.78251E+14,African: any other African - Scotland ethnic category 2011 census,13,4
9.78241E+14,African: African African Scottish or African British - Scotland ethnic category 2011 census,13,4
9.76901E+14,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,13,4
9.77801E+14,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,13,4
9.78261E+14,African: any other African - Scotland ethnic category 2011 census,13,4
1.07691E+14,Caribbean - ethnic category 2001 census,12,4
154164008,Black Caribbean,12,4
154168006,Black Caribbean &/or W.I. &/or Guyana,12,4
154185008,Caribbean I. &/or W.I. &/or Guyana (NMO),12,4
160531006,Race: West indian,12,4
185988007,Black Caribbean,12,4
185991007,Black Caribbean &/or W.I. &/or Guyana,12,4
186008004,Caribbean I. &/or W.I. &/or Guyana (NMO),12,4
270460000,Black Caribbean/West India/Guyana,12,4
270463003,Caribbean I./W.I./Guyana (NMO),12,4
275591005,Caribbean Island (NMO),12,4
275592003,West Indian (NMO),12,4
275593008,Guyana (NMO),12,4
309643000,Black West Indian,12,4
309644006,Black Guyana,12,4
413465009,Afro-Caribbean,12,4
9.76911E+14,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census,12,4
9.77811E+14,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,12,4
9.76921E+14,Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding),12,4
9.77821E+14,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,12,4
9.78281E+14,Caribbean or Black: Caribbean Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census,12,4
10432001,Onge,11,3
1.10781E+14,Sinhalese - ethnic category 2001 census,11,3
12556008,Tamils,11,3
1340002,Malays,11,3
154188005,E Afric Asian &/or Indo-Carib (NMO),11,3
154190006,Other Asian (NMO),11,3
154207008,Other Asian ethnic group,11,3
154223008,South East Asian,11,3
154226000,Other Asian,11,3
186011003,E Afric Asian &/or Indo-Carib (NMO),11,3
186013000,Other Asian (NMO),11,3
186030003,Other Asian ethnic group,11,3
186044009,South East Asian,11,3
186046006,Other Asian,11,3
20449009,Javanese,11,3
21993009,Indonesians,11,3
24812003,Mongol,11,3
26215007,South Asian Aborigine,11,3
2688009,Tristan da Cunhans,11,3
270465005,E Afric Asian/Indo-Carib (NMO),11,3
275596000,East African Asian (NMO),11,3
275597009,Indo-Caribbean (NMO),11,3
27683006,Ainu,11,3
2852001,Bhutanese,11,3
28796001,Siamese,11,3
315280000,Asian - ethnic group,11,3
315281001,Other Asian ethnic group,11,3
32513008,Dyaks,11,3
40165009,Buriats,11,3
414551003,Japanese,11,3
414978006,Oriental,11,3
42632009,Andamanese,11,3
4299001,Marathas,11,3
44460002,Turks,11,3
46723002,Badagas,11,3
47250000,Bruneians,11,3
48679001,Bogobos,11,3
53195006,Kirghiz,11,3
57405008,Chenchu,11,3
63736003,Taiwanese,11,3
6.61741E+14,Other Asian,11,3
67165000,Lapps,11,3
704385002,Punjabi,11,3
704386001,Orang asli,11,3
704387005,Kadazan,11,3
704388000,Melanau,11,3
704389008,Murut,11,3
704390004,Bajau,11,3
704391000,Bidayuh,11,3
704392007,Iban,11,3
7.18131E+14,Nepali,11,3
76768002,Filipinos,11,3
81283004,Todas,11,3
81846005,Naiars,11,3
83365001,Thais,11,3
83939006,Irula,11,3
8.6461E+13,Sri Lankan - ethnic category 2001 census,11,3
90348007,Ghashgai,11,3
91066000,Tatars,11,3
91191002,Oraons,11,3
9.2481E+13,Other Asian background - ethnic category 2001 census,11,3
9.2651E+13,Kashmiri - ethnic category 2001 census,11,3
9.2661E+13,East African Asian - ethnic category 2001 census,11,3
9.2671E+13,Tamil - ethnic category 2001 census,11,3
9.2681E+13,British Asian - ethnic category 2001 census,11,3
9.2691E+13,Caribbean Asian - ethnic category 2001 census,11,3
9.2701E+13,Other Asian or Asian unspecified - ethnic category 2001 census,11,3
9.2751E+13,Vietnamese - ethnic category 2001 census,11,3
9.2761E+13,Japanese - ethnic category 2001 census,11,3
9.2771E+13,Filipino - ethnic category 2001 census,11,3
9.2781E+13,Malaysian - ethnic category 2001 census,11,3
9.76871E+14,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,11,3
9.77771E+14,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,11,3
9.78211E+14,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,11,3
9.76881E+14,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,11,3
9.77781E+14,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,11,3
9.78221E+14,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,11,3
154180003,Bangladeshi,10,3
186003008,Bangladeshi,10,3
9.2471E+13,Bangladeshi or British Bangladeshi - ethnic category 2001 census,10,3
9.76831E+14,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,10,3
9.77731E+14,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,10,3
9.78171E+14,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census",10,3
9.76841E+14,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,10,3
9.77741E+14,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,10,3
9.78181E+14,Asian or Asian Scottish or Asian British: Bangladeshi Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census,10,3
154179001,Pakistani,9,3
186002003,Pakistani,9,3
81035008,Pakistani (Urduspeakers),9,3
9.2461E+13,Pakistani or British Pakistani - ethnic category 2001 census,9,3
9.76811E+14,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,9,3
9.77711E+14,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,9,3
9.78071E+14,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",9,3
9.78081E+14,Asian or Asian Scottish or Asian British: Pakistani Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census,9,3
9.76821E+14,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,9,3
9.77721E+14,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,9,3
1.10751E+14,Indian or British Indian - ethnic category 2001 census,8,3
154178009,Indian,8,3
154189002,Indian sub-continent (NMO),8,3
154225001,Indian,8,3
186001005,Indian (East Indian),8,3
186012005,Indian sub-continent (NMO),8,3
186045005,Indian,8,3
64483007,Indians (Hindi-speaking),8,3
9.2641E+13,Punjabi - ethnic category 2001 census,8,3
9.76791E+14,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,8,3
9.77591E+14,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,8,3
9.78111E+14,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",8,3
9.77601E+14,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,8,3
9.76801E+14,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,8,3
9.78121E+14,Asian or Asian Scottish or Asian British: Indian Indian Scottish or Indian British - Scotland ethnic category 2011 census,8,3
414481008,Indian (racial group),8,3
1.10771E+14,Black and White - ethnic category 2001 census,7,2
154175007,"Black - other, mixed",7,2
154176008,Other Black - Black/White orig,7,2
154177004,Other Black - Black/Asian orig,7,2
154196000,"Other ethnic, mixed origin",7,2
154197009,"Other ethnic, Black/White orig",7,2
154199007,"Other ethnic, mixed white orig",7,2
154200005,"Other ethnic, other mixed orig",7,2
185998001,"Black - other, mixed",7,2
185999009,Other Black - Black/White orig,7,2
186000006,Other Black - Black/Asian orig,7,2
186019001,"Other ethnic, mixed origin",7,2
186022004,"Other ethnic, mixed white origin",7,2
186023009,"Other ethnic, other mixed origin",7,2
315239007,Mixed ethnic census group,7,2
9.2451E+13,Other Mixed background - ethnic category 2001 census,7,2
9.2581E+13,Black and Asian - ethnic category 2001 census,7,2
9.2591E+13,Black and Chinese - ethnic category 2001 census,7,2
9.2601E+13,Chinese and White - ethnic category 2001 census,7,2
9.2611E+13,Asian and Chinese - ethnic category 2001 census,7,2
9.2621E+13,Other Mixed or Mixed unspecified - ethnic category 2001 census,7,2
9.2631E+13,Mixed Asian - ethnic category 2001 census,7,2
9.2721E+13,Mixed Black - ethnic category 2001 census,7,2
9.76771E+14,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census,7,2
9.76781E+14,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census,7,2
9.77551E+14,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census,7,2
9.77561E+14,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census,7,2
9.78051E+14,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census,7,2
9.78061E+14,Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census,7,2
414752008,Mixed racial group (racial group),7,2
154198004,"Other ethnic, Asian/White orig",6,2
186021006,"Other ethnic, Asian/White origin",6,2
9.2441E+13,White and Asian - ethnic category 2001 census,6,2
9.76751E+14,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census,6,2
9.76761E+14,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census,6,2
9.77431E+14,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census,6,2
9.77441E+14,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census,6,2
154202002,Black African and White,5,2
186025002,Black African and White,5,2
315635008,Black African and White,5,2
413466005,Afro-Caucasian,5,2
9.2431E+13,White and Black African - ethnic category 2001 census,5,2
9.76731E+14,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census,5,2
9.76741E+14,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census,5,2
9.77411E+14,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census,5,2
9.77421E+14,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census,5,2
154201009,Black Caribbean and White,4,2
186020007,"Other ethnic, Black/White origin",4,2
186024003,Black Caribbean and White,4,2
315634007,Black Caribbean and White,4,2
9.2421E+13,White and Black Caribbean - ethnic category 2001 census,4,2
9.76711E+14,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census,4,2
9.76721E+14,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census,4,2
9.77391E+14,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census,4,2
9.77401E+14,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census,4,2
10117001,Finns,3,1
1.03621E+15,Slovak Roma,3,1
1.03625E+15,Czech Roma,3,1
1.03628E+15,Hungarian Roma,3,1
1.0363E+15,Polish Roma,3,1
1.03632E+15,Romanian Roma,3,1
1.03634E+15,Roma,3,1
1.03636E+15,Bulgarian Roma,3,1
1.10401E+14,Turkish - ethnic category 2001 census,3,1
113169009,Armenians,3,1
14045001,Caucasian,3,1
14176005,Danes,3,1
1451003,Greeks,3,1
154163002,Other white ethnic group,3,1
154192003,Greek &/or Greek Cypriot (NMO),3,1
154193008,Turkish &/or Turkish Cypriot (NMO),3,1
154194002,Other European (NMO),3,1
154208003,Irish traveller,3,1
154213004,New Zealand European,3,1
154214005,Other European in New Zealand,3,1
17095009,Norwegians,3,1
18583004,Estonians,3,1
185984009,White - ethnic group,3,1
185987002,Other white ethnic group,3,1
186015007,Greek &/or Greek Cypriot (NMO),3,1
186016008,Turkish &/or Turkish Cypriot (NMO),3,1
186017004,Other European (NMO),3,1
186031004,Irish traveller,3,1
186036009,New Zealand European,3,1
19434008,French,3,1
270466006,Greek/Greek Cypriot (NMO),3,1
270467002,Turkish/Turkish Cypriot (NMO),3,1
275599007,Greek (NMO),3,1
275600005,Greek Cypriot (NMO),3,1
275601009,Turkish (NMO),3,1
275602002,Turkish Cypriot (NMO),3,1
28409002,Spaniards,3,1
28562006,Poles,3,1
286009,Czech,3,1
29343004,Bulgarian,3,1
315238004,Other white ethnic group,3,1
315283003,Irish traveller,3,1
31637002,Italians,3,1
32045009,Georgians,3,1
36329002,Slovak,3,1
367505005,Caucasian (living organism),3,1
393199009,Gypsies,3,1
394149000,Gypsies,3,1
394635008,Gypsies,3,1
40182006,Gypsies,3,1
414152003,European,3,1
445343003,Romanian,3,1
45465003,Basques,3,1
5.18701E+14,Romanian,3,1
5.18721E+14,Bulgarian,3,1
5.19681E+14,Czech,3,1
53460002,Serbs,3,1
56056003,Belgians,3,1
64693008,Hungarian,3,1
6.68681E+14,Other white ethnic group,3,1
68486007,Austrians,3,1
7.10011E+14,Slovak,3,1
7.18021E+14,Portuguese,3,1
718958002,Roma,3,1
718959005,Czech Roma,3,1
718960000,Romanian Roma,3,1
718961001,Slovak Roma,3,1
718962008,Bulgarian Roma,3,1
718963003,Hungarian Roma,3,1
718964009,Polish Roma,3,1
72809004,Icelanders,3,1
733078003,Ukrainian,3,1
733446001,Canadian,3,1
735001008,Scandinavian,3,1
76574004,Swiss,3,1
7695005,Germans,3,1
80208004,Portuguese,3,1
81403004,Swedes,3,1
85163001,Russians,3,1
8.8911E+13,Irish Traveller - ethnic category 2001 census,3,1
8.8921E+13,Traveller - ethnic category 2001 census,3,1
8.8931E+13,Gypsy/Romany - ethnic category 2001 census,3,1
8.8941E+13,Polish - ethnic category 2001 census,3,1
8.8951E+13,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census,3,1
8.8961E+13,Commonwealth of (Russian) Independent States - ethnic category 2001 census,3,1
8.8971E+13,Albanian - ethnic category 2001 census,3,1
8.8981E+13,Serbian - ethnic category 2001 census,3,1
9.2411E+13,Other White background - ethnic category 2001 census,3,1
9.2791E+13,Cypriot (part not stated) - ethnic category 2001 census,3,1
9.3921E+13,Ulster Scots - ethnic category 2001 census,3,1
9.3931E+13,Greek - ethnic category 2001 census,3,1
9.3941E+13,Greek Cypriot - ethnic category 2001 census,3,1
9.3951E+13,Turkish Cypriot - ethnic category 2001 census,3,1
9.3961E+13,Italian - ethnic category 2001 census,3,1
9.3981E+13,Kosovan - ethnic category 2001 census,3,1
9.3991E+13,Bosnian - ethnic category 2001 census,3,1
9.4001E+13,Croatian - ethnic category 2001 census,3,1
9.4011E+13,Other republics which made up the former Yugoslavia - ethnic category 2001 census,3,1
9.4021E+13,Mixed Irish and other White - ethnic category 2001 census,3,1
9.4031E+13,Other mixed White - ethnic category 2001 census,3,1
9.4041E+13,Other White European or European unspecified or Mixed European - ethnic category 2001 census,3,1
9.4051E+13,Other White or White unspecified - ethnic category 2001 census,3,1
9533000,Dutch,3,1
9.76671E+14,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,3,1
9.76691E+14,White: any other White background - England and Wales ethnic category 2011 census,3,1
9.77351E+14,White - Northern Ireland ethnic category 2011 census,3,1
9.77371E+14,Irish Traveller - Northern Ireland ethnic category 2011 census,3,1
9.77971E+14,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,3,1
9.78011E+14,White: Polish - Scotland ethnic category 2011 census,3,1
9.78031E+14,White: any other White ethnic group - Scotland ethnic category 2011 census,3,1
9.78041E+14,White: any other white ethnic group - Scotland ethnic category 2011 census,3,1
9.78021E+14,White: Polish - Scotland ethnic category 2011 census,3,1
413773004,Caucasian (racial group),3,1
9.77381E+14,Irish Traveller - Northern Ireland ethnic category 2011 census,3,1
9.76701E+14,White: any other white background - England and Wales ethnic category 2011 census,3,1
9.77981E+14,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,3,1
9.76681E+14,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,3,1
154162007,White Irish,2,1
154191005,Irish (NMO),2,1
185986006,White Irish,2,1
186014006,Irish (NMO),2,1
315237009,White Irish,2,1
4.94161E+14,White Irish - ethnic category 2001 census,2,1
9.2401E+13,Irish - ethnic category 2001 census,2,1
9.76651E+14,White: Irish - England and Wales ethnic category 2011 census,2,1
9.77951E+14,White: Irish - Scotland ethnic category 2011 census,2,1
9.76661E+14,White: Irish - England and Wales ethnic category 2011 census,2,1
4.94171E+14,White Irish - ethnic category 2001 census,2,1
4.94181E+14,White Irish - ethnic category 2001 census,2,1
9.77961E+14,White: Irish - Scotland ethnic category 2011 census,2,1
1.10761E+14,English - ethnic category 2001 census,1,1
14999008,Welsh,1,1
154160004,White - ethnic group,1,1
154161000,White British,1,1
185985005,White British,1,1
25804004,English,1,1
315236000,White British,1,1
401213008,White Scottish,1,1
401214002,Other white British ethnic group,1,1
4.1121E+13,Other white British ethnic group,1,1
4.3481E+13,Other white British ethnic group,1,1
4.4881E+13,White Scottish,1,1
4.4891E+13,Other white British ethnic group,1,1
4.94131E+14,White British - ethnic category 2001 census,1,1
7.7711E+13,Other white British ethnic group,1,1
8.2121E+13,Other white British ethnic group,1,1
9.2391E+13,British or mixed British - ethnic category 2001 census,1,1
9.2541E+13,Scottish - ethnic category 2001 census,1,1
9.2551E+13,Welsh - ethnic category 2001 census,1,1
9.2561E+13,Northern Irish - ethnic category 2001 census,1,1
9.2571E+13,Cornish - ethnic category 2001 census,1,1
