"Period","month","completed","Treatment.Function.Code","Total.All"
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_130",50612
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_140",14147
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_150",2549
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_160",11197
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_170",2208
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_300",2396
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_301",21689
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_320",9543
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_330",7836
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_340",2187
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_400",772
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_410",2407
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_430",412
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_502",19080
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_999",315664
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_100",31408
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_110",44861
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_120",12919
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_130",44280
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_140",12387
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_150",2205
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_160",10419
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_170",2002
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_300",2175
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_301",19110
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_320",8246
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_330",6973
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_340",1865
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_400",647
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_410",2046
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_430",404
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_502",16635
"RTT-AUGUST-2019",2019-08-01,"Completed Pathways For Admitted Patients","C_999",276600
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_100",32343
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_110",48767
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_120",13410
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_130",48001
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_140",12353
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_150",2250
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_160",10213
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_170",2156
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_300",2158
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_301",18824
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_320",8671
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_330",7822
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_340",1964
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_400",677
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_410",1946
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_430",421
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_502",17366
"RTT-SEPTEMBER-2019",2019-09-01,"Completed Pathways For Admitted Patients","C_999",289649
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_100",35117
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_110",54385
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_120",14587
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_130",52103
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_140",14340
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_150",2591
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_160",11692
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_170",2173
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_300",2101
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_301",20571
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_320",9367
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_330",8803
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_340",2086
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_400",861
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_410",2239
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_430",499
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_502",19098
"RTT-OCTOBER-2019",2019-10-01,"Completed Pathways For Admitted Patients","C_999",318009
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_100",33985
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_110",50664
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_120",13549
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_130",51319
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_140",13605
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_150",2400
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_160",10677
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_170",1957
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_300",2159
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_301",20326
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_320",8985
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_330",8473
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_340",1940
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_400",888
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_410",2088
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_430",396
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_502",18311
"RTT-NOVEMBER-2019",2019-11-01,"Completed Pathways For Admitted Patients","C_999",303189
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_100",28982
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_110",41708
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_120",11512
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_130",41917
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_140",10370
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_150",2073
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_160",9491
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_170",1648
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_300",1626
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_301",17523
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_320",7536
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_330",7075
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_340",1666
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_400",659
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_410",1660
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_430",334
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_502",14827
"RTT-DECEMBER-2019",2019-12-01,"Completed Pathways For Admitted Patients","C_999",253290
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_100",32999
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_110",49738
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_120",13791
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_130",51547
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_140",13617
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_150",2506
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_160",11033
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_170",1992
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_300",1886
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_301",21107
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_320",9190
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_330",8443
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_340",2030
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_400",830
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_410",1815
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_430",419
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_502",17919
"RTT-JANUARY-2020",2020-01-01,"Completed Pathways For Admitted Patients","C_999",304989
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_100",31459
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_110",47525
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_120",13274
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_130",47160
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_140",13024
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_150",2382
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_160",10092
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_170",1907
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_300",1673
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_301",19696
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_320",8588
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_330",7879
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_340",1907
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_400",790
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_410",1777
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_430",421
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_502",16780
"RTT-FEBRUARY-2020",2020-02-01,"Completed Pathways For Admitted Patients","C_999",286040
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_100",23481
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_110",30595
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_120",8633
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_130",33367
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_140",8260
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_150",1727
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_160",8202
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_170",1497
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_300",1398
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_301",15737
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_320",7063
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_330",7190
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_340",1479
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_400",541
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_410",1369
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_430",339
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_502",12829
"RTT-MARCH-2020",2020-03-01,"Completed Pathways For Admitted Patients","C_999",208879
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_100",3810
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_110",1620
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_120",1000
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_130",2733
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_140",932
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_150",459
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_160",3615
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_170",535
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_300",506
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_301",2863
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_320",2363
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_330",2329
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_340",444
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_400",237
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_410",378
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_430",92
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_502",2937
"RTT-APRIL-2020",2020-04-01,"Completed Pathways For Admitted Patients","C_999",41778
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_100",5115
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_110",2496
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_120",1428
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_130",4208
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_140",1288
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_150",647
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_160",4531
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_170",845
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_300",798
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_301",4074
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_320",3320
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_330",3163
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_340",504
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_400",336
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_410",417
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_430",64
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_502",3484
"RTT-MAY-2020",2020-05-01,"Completed Pathways For Admitted Patients","C_999",55013
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_100",9691
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_110",7490
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_120",2668
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_130",10871
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_140",2945
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_150",1048
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_160",5875
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_170",1202
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_300",1037
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_301",7149
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_320",5498
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_330",4880
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_340",792
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_400",478
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_410",691
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_430",108
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_502",5402
"RTT-JUNE-2020",2020-06-01,"Completed Pathways For Admitted Patients","C_999",95054
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_100",14795
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_110",16180
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_120",4887
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_130",22414
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_140",4645
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_150",1492
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_160",6958
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_170",1470
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_300",1443
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_301",9722
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_320",6897
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_330",5205
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_340",1066
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_400",630
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_410",1081
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_430",123
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_502",7978
"RTT-JULY-2020",2020-07-01,"Completed Pathways For Admitted Patients","C_999",143695
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_100",16850
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_110",19982
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_120",6074
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_130",26406
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_140",5421
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_150",1523
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_160",6600
